Sample	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails
Mohsen168_S1_L001_R1_001	44.0	2001159.0	301	9.115253912155225	299.1400618341671	27.27272727272727
Mohsen168_S1_L001_R2_001	44.0	2001159.0	301	8.777008007303365	299.2326102023877	27.27272727272727
Mohsen172_S2_L001_R1_001	41.0	1933032.0	301	9.802240038339065	298.577427585265	27.27272727272727
Mohsen172_S2_L001_R2_001	41.0	1933032.0	301	9.64964427183213	298.6550827922145	36.36363636363637
Mohsen173_S3_L001_R1_001	43.0	1850886.0	301	4.1412235038772	296.73220284771725	18.181818181818183
Mohsen173_S3_L001_R2_001	44.0	1850886.0	301	3.979452873141412	296.8906793827389	27.27272727272727
Mohsen175_S4_L001_R1_001	43.0	2452412.0	301	5.434603253790613	298.5120848372949	27.27272727272727
Mohsen175_S4_L001_R2_001	43.0	2452412.0	301	5.32184806572684	298.61270088386453	27.27272727272727
Mohsen176_S11_L001_R1_001	42.0	1898905.0	301	4.200946303626765	298.42144604390427	18.181818181818183
Mohsen176_S11_L001_R2_001	42.0	1898905.0	301	4.0828084348086975	298.5102187839834	27.27272727272727
Mohsen178_S5_L001_R1_001	44.0	2013453.0	301	3.6318808494205115	297.68185500232687	27.27272727272727
Mohsen178_S5_L001_R2_001	45.0	2013453.0	301	3.5466352938140915	297.81210090327414	27.27272727272727
Mohsen179_S12_L001_R1_001	41.0	1421174.0	301	13.727751011617755	298.5564645849136	27.27272727272727
Mohsen179_S12_L001_R2_001	41.0	1421174.0	301	13.494242990905832	298.63733434470373	36.36363636363637
Mohsen180_S6_L001_R1_001	43.0	1956202.0	301	5.549411404316061	297.31383824369874	27.27272727272727
Mohsen180_S6_L001_R2_001	44.0	1956202.0	301	5.397283569001516	297.4420146794656	27.27272727272727
Mohsen181_S7_L001_R1_001	42.0	1958870.0	301	5.45146482881259	298.6148534614344	27.27272727272727
Mohsen181_S7_L001_R2_001	43.0	1958870.0	301	5.259701909157883	298.7051509288518	36.36363636363637
Mohsen182_S8_L001_R1_001	41.0	2001521.0	301	7.559657944072782	298.7596113155945	27.27272727272727
Mohsen182_S8_L001_R2_001	41.0	2001521.0	301	7.490574398417721	298.8259988278914	36.36363636363637
Mohsen184_S9_L001_R1_001	42.0	1887555.0	301	11.661213853661891	298.6289607455147	27.27272727272727
Mohsen184_S9_L001_R2_001	42.0	1887555.0	301	11.503894871402991	298.7221829297689	36.36363636363637
Mohsen185_S10_L001_R1_001	41.0	1512014.0	301	5.909549592115326	298.46804063983535	18.181818181818183
Mohsen185_S10_L001_R2_001	41.0	1512014.0	301	5.56859335646098	298.5356359134241	36.36363636363637
