Sample	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_duplicates
Mohsen168_S1_L001_R1_001	1921722.0	27.27272727272727	44.0	299.1487806248771	301	8.906300685258486
Mohsen168_S1_L001_R2_001	1921722.0	27.27272727272727	44.0	299.26503365210993	301	8.359554595628396
Mohsen172_S2_L001_R1_001	1850305.0	27.27272727272727	41.0	298.60531263764625	301	9.59113683408252
Mohsen172_S2_L001_R2_001	1850305.0	36.36363636363637	41.0	298.7125636043787	301	9.33890015211206
Mohsen173_S3_L001_R1_001	1795826.0	18.181818181818183	43.0	296.77951928527597	301	4.080708261359192
Mohsen173_S3_L001_R2_001	1795826.0	27.27272727272727	44.0	296.9883273769285	301	3.858303274446399
Mohsen175_S4_L001_R1_001	2294162.0	27.27272727272727	43.0	298.5406170096096	301	5.250956577162526
Mohsen175_S4_L001_R2_001	2294162.0	27.27272727272727	43.0	298.678212349433	301	4.936452185142272
Mohsen176_S11_L001_R1_001	1817885.0	18.181818181818183	42.0	298.4502897598033	301	4.082410372490301
Mohsen176_S11_L001_R2_001	1817885.0	18.181818181818183	42.0	298.5732661857048	301	3.8960437206149265
Mohsen178_S5_L001_R1_001	1925311.0	27.27272727272727	44.0	297.72911856837675	301	3.5135530460356676
Mohsen178_S5_L001_R2_001	1925311.0	27.27272727272727	45.0	297.89386909439565	301	3.382072719644455
Mohsen179_S12_L001_R1_001	1388267.0	27.27272727272727	41.0	298.55972518254777	301	13.596844577604458
Mohsen179_S12_L001_R2_001	1388267.0	36.36363636363637	41.0	298.6695311492674	301	13.041317909390813
Mohsen180_S6_L001_R1_001	1895288.0	27.27272727272727	43.0	297.3828805965109	301	5.575265841412971
Mohsen180_S6_L001_R2_001	1895288.0	27.27272727272727	44.0	297.5473157641477	301	5.380377430440191
Mohsen181_S7_L001_R1_001	1878740.0	27.27272727272727	42.0	298.6395940896558	301	5.35711037332247
Mohsen181_S7_L001_R2_001	1878740.0	27.27272727272727	43.0	298.7633376624759	301	5.111839048940581
Mohsen182_S8_L001_R1_001	1931863.0	27.27272727272727	41.0	298.8030284756217	301	7.760303666133822
Mohsen182_S8_L001_R2_001	1931863.0	36.36363636363637	41.0	298.89611892768795	301	7.306231662550502
Mohsen184_S9_L001_R1_001	1818810.0	27.27272727272727	41.0	298.65257668475545	301	11.767745955397686
Mohsen184_S9_L001_R2_001	1818810.0	36.36363636363637	42.0	298.7655829910766	301	11.144437180805113
Mohsen185_S10_L001_R1_001	1469618.0	18.181818181818183	41.0	298.46601361714403	301	5.727551787761399
Mohsen185_S10_L001_R2_001	1469618.0	27.27272727272727	41.0	298.571211022184	301	5.425024585881417
