Sample	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-percent_duplicates
Mohsen168_S1_L001_R1_001	2133197.0	299.1351244165447	301	27.27272727272727	44.0	10.78679404347487
Mohsen168_S1_L001_R2_001	2133197.0	299.3229879847009	301	27.27272727272727	45.0	10.463588735659016
Mohsen172_S2_L001_R1_001	2032431.0	298.6134309110617	301	27.27272727272727	41.0	11.118132136044125
Mohsen172_S2_L001_R2_001	2032431.0	298.80322185599414	301	27.27272727272727	41.0	10.713043819385788
Mohsen173_S3_L001_R1_001	1974674.0	296.7982664480314	301	18.181818181818183	43.0	4.593283419829376
Mohsen173_S3_L001_R2_001	1974674.0	297.1881409285786	301	27.27272727272727	44.0	4.329996313222395
Mohsen175_S4_L001_R1_001	2490885.0	298.55158267041634	301	18.181818181818183	43.0	5.963531287445591
Mohsen175_S4_L001_R2_001	2490885.0	298.77762361570285	301	27.27272727272727	44.0	5.600809388207622
Mohsen176_S11_L001_R1_001	1986928.0	298.43878892440995	301	18.181818181818183	42.0	4.503949428733492
Mohsen176_S11_L001_R2_001	1986928.0	298.66850937729	301	27.27272727272727	43.0	4.319964840525387
Mohsen178_S5_L001_R1_001	2098024.0	297.70101342977966	301	27.27272727272727	44.0	4.194530196904182
Mohsen178_S5_L001_R2_001	2098024.0	297.9923470846854	301	27.27272727272727	45.0	3.9727588626579404
Mohsen179_S12_L001_R1_001	1552352.0	298.571921187978	301	27.27272727272727	41.0	15.554073190696144
Mohsen179_S12_L001_R2_001	1552352.0	298.7534180392076	301	27.27272727272727	41.0	14.889431914408433
Mohsen180_S6_L001_R1_001	2086169.0	297.34552953284225	301	18.181818181818183	43.0	6.562936189000169
Mohsen180_S6_L001_R2_001	2086169.0	297.64250834903595	301	27.27272727272727	44.0	6.272602503285796
Mohsen181_S7_L001_R1_001	2060878.0	298.6339395150999	301	27.27272727272727	42.0	6.22536193000704
Mohsen181_S7_L001_R2_001	2060878.0	298.84271315429635	301	27.27272727272727	43.0	5.842398054076554
Mohsen182_S8_L001_R1_001	2111968.0	298.8167226018576	301	27.27272727272727	41.0	8.356820421435472
Mohsen182_S8_L001_R2_001	2111968.0	298.98515697207534	301	27.27272727272727	41.0	7.93318771324212
Mohsen184_S9_L001_R1_001	2027558.0	298.6673175317303	301	18.181818181818183	41.0	13.673407128632135
Mohsen184_S9_L001_R2_001	2027558.0	298.86777098361677	301	27.27272727272727	42.0	13.121599373426221
Mohsen185_S10_L001_R1_001	1613910.0	298.4888915738796	301	27.27272727272727	41.0	6.400559451706954
Mohsen185_S10_L001_R2_001	1613910.0	298.69242460855935	301	27.27272727272727	42.0	5.833904996313521
