Sample	median_sequence_length	Sequence length	overrepresented_sequences	total_deduplicated_percentage	per_tile_sequence_quality	Filename	per_base_n_content	per_sequence_gc_content	%GC	File type	per_base_sequence_quality	Total Bases	per_base_sequence_content	adapter_content	Total Sequences	per_sequence_quality_scores	avg_sequence_length	Encoding	sequence_duplication_levels	basic_statistics	sequence_length_distribution	Sequences flagged as poor quality
Mohsen168_S1_L001_R1_001	301	35-301	fail	89.21320595652513	pass	Mohsen168_S1_L001_R1_001.fastq.gz	pass	fail	44.0	Conventional base calls	fail	638.4 Mbp	warn	pass	2133197.0	pass	299.1351244165447	Sanger / Illumina 1.9	pass	pass	warn	0.0
Mohsen168_S1_L001_R2_001	301	35-301	fail	89.53641126434098	pass	Mohsen168_S1_L001_R2_001.fastq.gz	pass	fail	45.0	Conventional base calls	fail	638.7 Mbp	warn	pass	2133197.0	pass	299.3229879847009	Sanger / Illumina 1.9	pass	pass	warn	0.0
Mohsen172_S2_L001_R1_001	301	35-301	fail	88.88186786395588	pass	Mohsen172_S2_L001_R1_001.fastq.gz	pass	fail	41.0	Conventional base calls	warn	607.2 Mbp	fail	pass	2032431.0	pass	298.6134309110617	Sanger / Illumina 1.9	pass	pass	warn	0.0
Mohsen172_S2_L001_R2_001	301	35-301	fail	89.28695618061421	pass	Mohsen172_S2_L001_R2_001.fastq.gz	pass	fail	41.0	Conventional base calls	fail	607.5 Mbp	warn	pass	2032431.0	pass	298.80322185599414	Sanger / Illumina 1.9	pass	pass	warn	0.0
Mohsen173_S3_L001_R1_001	301	35-301	fail	95.40671658017062	pass	Mohsen173_S3_L001_R1_001.fastq.gz	pass	fail	43.0	Conventional base calls	warn	586.4 Mbp	warn	pass	1974674.0	pass	296.7982664480314	Sanger / Illumina 1.9	pass	pass	warn	0.0
Mohsen173_S3_L001_R2_001	301	35-301	fail	95.6700036867776	pass	Mohsen173_S3_L001_R2_001.fastq.gz	pass	fail	44.0	Conventional base calls	fail	587.1 Mbp	warn	pass	1974674.0	pass	297.1881409285786	Sanger / Illumina 1.9	pass	pass	warn	0.0
Mohsen175_S4_L001_R1_001	301	35-301	fail	94.03646871255441	pass	Mohsen175_S4_L001_R1_001.fastq.gz	pass	fail	43.0	Conventional base calls	warn	744 Mbp	warn	pass	2490885.0	pass	298.55158267041634	Sanger / Illumina 1.9	pass	pass	warn	0.0
Mohsen175_S4_L001_R2_001	301	35-301	fail	94.39919061179238	pass	Mohsen175_S4_L001_R2_001.fastq.gz	pass	fail	44.0	Conventional base calls	fail	744.5 Mbp	warn	pass	2490885.0	pass	298.77762361570285	Sanger / Illumina 1.9	pass	pass	warn	0.0
Mohsen176_S11_L001_R1_001	301	35-301	warn	95.49605057126651	pass	Mohsen176_S11_L001_R1_001.fastq.gz	pass	fail	42.0	Conventional base calls	warn	593.3 Mbp	fail	pass	1986928.0	pass	298.43878892440995	Sanger / Illumina 1.9	pass	pass	warn	0.0
Mohsen176_S11_L001_R2_001	301	35-301	fail	95.68003515947461	pass	Mohsen176_S11_L001_R2_001.fastq.gz	pass	fail	43.0	Conventional base calls	fail	593.6 Mbp	warn	pass	1986928.0	pass	298.66850937729	Sanger / Illumina 1.9	pass	pass	warn	0.0
