Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_gc
Mohsen168_S1_L001_R1_001	10.78679404347487	27.27272727272727	301	299.1351244165447	2133197.0	44.0
Mohsen168_S1_L001_R2_001	10.463588735659016	27.27272727272727	301	299.3229879847009	2133197.0	45.0
Mohsen172_S2_L001_R1_001	11.118132136044125	27.27272727272727	301	298.6134309110617	2032431.0	41.0
Mohsen172_S2_L001_R2_001	10.713043819385788	27.27272727272727	301	298.80322185599414	2032431.0	41.0
Mohsen173_S3_L001_R1_001	4.593283419829376	18.181818181818183	301	296.7982664480314	1974674.0	43.0
Mohsen173_S3_L001_R2_001	4.329996313222395	27.27272727272727	301	297.1881409285786	1974674.0	44.0
Mohsen175_S4_L001_R1_001	5.963531287445591	18.181818181818183	301	298.55158267041634	2490885.0	43.0
Mohsen175_S4_L001_R2_001	5.600809388207622	27.27272727272727	301	298.77762361570285	2490885.0	44.0
Mohsen176_S11_L001_R1_001	4.503949428733492	18.181818181818183	301	298.43878892440995	1986928.0	42.0
Mohsen176_S11_L001_R2_001	4.319964840525387	27.27272727272727	301	298.66850937729	1986928.0	43.0
Mohsen178_S5_L001_R1_001	4.194530196904182	27.27272727272727	301	297.70101342977966	2098024.0	44.0
Mohsen178_S5_L001_R2_001	3.9727588626579404	27.27272727272727	301	297.9923470846854	2098024.0	45.0
Mohsen179_S12_L001_R1_001	15.554073190696144	27.27272727272727	301	298.571921187978	1552352.0	41.0
Mohsen179_S12_L001_R2_001	14.889431914408433	27.27272727272727	301	298.7534180392076	1552352.0	41.0
Mohsen180_S6_L001_R1_001	6.562936189000169	18.181818181818183	301	297.34552953284225	2086169.0	43.0
Mohsen180_S6_L001_R2_001	6.272602503285796	27.27272727272727	301	297.64250834903595	2086169.0	44.0
Mohsen181_S7_L001_R1_001	6.22536193000704	27.27272727272727	301	298.6339395150999	2060878.0	42.0
Mohsen181_S7_L001_R2_001	5.842398054076554	27.27272727272727	301	298.84271315429635	2060878.0	43.0
Mohsen182_S8_L001_R1_001	8.356820421435472	27.27272727272727	301	298.8167226018576	2111968.0	41.0
Mohsen182_S8_L001_R2_001	7.93318771324212	27.27272727272727	301	298.98515697207534	2111968.0	41.0
Mohsen184_S9_L001_R1_001	13.673407128632135	18.181818181818183	301	298.6673175317303	2027558.0	41.0
Mohsen184_S9_L001_R2_001	13.121599373426221	27.27272727272727	301	298.86777098361677	2027558.0	42.0
Mohsen185_S10_L001_R1_001	6.400559451706954	27.27272727272727	301	298.4888915738796	1613910.0	41.0
Mohsen185_S10_L001_R2_001	5.833904996313521	27.27272727272727	301	298.69242460855935	1613910.0	42.0
