Module	Section	Sample Name	Source
FastQC	all_sections	Mohsen168_S1_L001_R1_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen168_S1_L001_R1_001_fastqc.zip
FastQC	all_sections	Mohsen168_S1_L001_R2_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen168_S1_L001_R2_001_fastqc.zip
FastQC	all_sections	Mohsen172_S2_L001_R1_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen172_S2_L001_R1_001_fastqc.zip
FastQC	all_sections	Mohsen172_S2_L001_R2_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen172_S2_L001_R2_001_fastqc.zip
FastQC	all_sections	Mohsen173_S3_L001_R1_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen173_S3_L001_R1_001_fastqc.zip
FastQC	all_sections	Mohsen173_S3_L001_R2_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen173_S3_L001_R2_001_fastqc.zip
FastQC	all_sections	Mohsen175_S4_L001_R1_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen175_S4_L001_R1_001_fastqc.zip
FastQC	all_sections	Mohsen175_S4_L001_R2_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen175_S4_L001_R2_001_fastqc.zip
FastQC	all_sections	Mohsen176_S11_L001_R1_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen176_S11_L001_R1_001_fastqc.zip
FastQC	all_sections	Mohsen176_S11_L001_R2_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen176_S11_L001_R2_001_fastqc.zip
FastQC	all_sections	Mohsen178_S5_L001_R1_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen178_S5_L001_R1_001_fastqc.zip
FastQC	all_sections	Mohsen178_S5_L001_R2_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen178_S5_L001_R2_001_fastqc.zip
FastQC	all_sections	Mohsen179_S12_L001_R1_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen179_S12_L001_R1_001_fastqc.zip
FastQC	all_sections	Mohsen179_S12_L001_R2_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen179_S12_L001_R2_001_fastqc.zip
FastQC	all_sections	Mohsen180_S6_L001_R1_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen180_S6_L001_R1_001_fastqc.zip
FastQC	all_sections	Mohsen180_S6_L001_R2_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen180_S6_L001_R2_001_fastqc.zip
FastQC	all_sections	Mohsen181_S7_L001_R1_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen181_S7_L001_R1_001_fastqc.zip
FastQC	all_sections	Mohsen181_S7_L001_R2_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen181_S7_L001_R2_001_fastqc.zip
FastQC	all_sections	Mohsen182_S8_L001_R1_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen182_S8_L001_R1_001_fastqc.zip
FastQC	all_sections	Mohsen182_S8_L001_R2_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen182_S8_L001_R2_001_fastqc.zip
FastQC	all_sections	Mohsen184_S9_L001_R1_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen184_S9_L001_R1_001_fastqc.zip
FastQC	all_sections	Mohsen184_S9_L001_R2_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen184_S9_L001_R2_001_fastqc.zip
FastQC	all_sections	Mohsen185_S10_L001_R1_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen185_S10_L001_R1_001_fastqc.zip
FastQC	all_sections	Mohsen185_S10_L001_R2_001	/home/mb62095/epichloe_2024/01_qc/results/03/Mohsen185_S10_L001_R2_001_fastqc.zip
