Sample	File type	Total Bases	%GC	Filename	per_base_sequence_quality	overrepresented_sequences	per_sequence_quality_scores	basic_statistics	per_base_n_content	Sequence length	Total Sequences	avg_sequence_length	Sequences flagged as poor quality	median_sequence_length	per_base_sequence_content	sequence_length_distribution	total_deduplicated_percentage	per_sequence_gc_content	adapter_content	per_tile_sequence_quality	Encoding	sequence_duplication_levels
Mohsen168_S1_L001__1P	Conventional base calls	361.7 Mbp	42.0	Mohsen168_S1_L001__1P.fastq.gz	pass	pass	pass	pass	pass	25-296	1470215.0	245.2285516063977	0.0	274	fail	warn	97.54081794109906	fail	pass	pass	Sanger / Illumina 1.9	pass
Mohsen168_S1_L001__2P	Conventional base calls	298.2 Mbp	42.0	Mohsen168_S1_L001__2P.fastq.gz	pass	pass	pass	pass	pass	25-296	1470215.0	202.25597412623324	0.0	224	fail	warn	97.52505028044389	fail	pass	pass	Sanger / Illumina 1.9	pass
Mohsen172_S2_L001__1P	Conventional base calls	382.5 Mbp	39.0	Mohsen172_S2_L001__1P.fastq.gz	pass	pass	pass	pass	pass	25-296	1534132.0	248.42851984053524	0.0	274	fail	warn	94.60634164078225	fail	pass	pass	Sanger / Illumina 1.9	pass
Mohsen172_S2_L001__2P	Conventional base calls	329.7 Mbp	38.0	Mohsen172_S2_L001__2P.fastq.gz	pass	pass	pass	pass	pass	25-296	1534132.0	214.27942184896736	0.0	234	fail	warn	94.55423142722252	fail	pass	pass	Sanger / Illumina 1.9	pass
Mohsen173_S3_L001__1P	Conventional base calls	367.8 Mbp	42.0	Mohsen173_S3_L001__1P.fastq.gz	pass	pass	pass	pass	pass	25-296	1492021.0	245.68131547746313	0.0	274	fail	warn	97.30528289725865	fail	pass	pass	Sanger / Illumina 1.9	pass
Mohsen173_S3_L001__2P	Conventional base calls	311.8 Mbp	41.0	Mohsen173_S3_L001__2P.fastq.gz	pass	pass	pass	pass	pass	25-296	1492021.0	208.42123401748367	0.0	224	fail	warn	97.33220120042314	fail	pass	pass	Sanger / Illumina 1.9	pass
Mohsen175_S4_L001__1P	Conventional base calls	478.5 Mbp	41.0	Mohsen175_S4_L001__1P.fastq.gz	pass	pass	pass	pass	pass	25-296	1939522.0	245.86736577362876	0.0	274	fail	warn	96.59765266874683	fail	pass	pass	Sanger / Illumina 1.9	pass
Mohsen175_S4_L001__2P	Conventional base calls	402.4 Mbp	41.0	Mohsen175_S4_L001__2P.fastq.gz	pass	pass	pass	pass	pass	25-296	1939522.0	206.86139883950787	0.0	224	fail	warn	96.54702177551506	fail	pass	pass	Sanger / Illumina 1.9	pass
Mohsen176_S11_L001__1P	Conventional base calls	379.9 Mbp	41.0	Mohsen176_S11_L001__1P.fastq.gz	pass	pass	pass	pass	pass	25-296	1541220.0	245.6874054320603	0.0	274	fail	warn	96.89072007614546	fail	pass	pass	Sanger / Illumina 1.9	pass
Mohsen176_S11_L001__2P	Conventional base calls	325.6 Mbp	40.0	Mohsen176_S11_L001__2P.fastq.gz	pass	pass	pass	pass	pass	25-296	1541220.0	210.684339030119	0.0	224	fail	warn	96.86668526331175	fail	pass	pass	Sanger / Illumina 1.9	pass
