Sample	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-median_sequence_length
Mohsen168_S1_L001__1P	245.2285516063977	18.181818181818183	1470215.0	2.459182058900936	42.0	274
Mohsen168_S1_L001__2P	202.25597412623324	18.181818181818183	1470215.0	2.4749497195561077	42.0	224
Mohsen172_S2_L001__1P	248.42851984053524	18.181818181818183	1534132.0	5.393658359217753	39.0	274
Mohsen172_S2_L001__2P	214.27942184896736	18.181818181818183	1534132.0	5.445768572777482	38.0	234
Mohsen173_S3_L001__1P	245.68131547746313	18.181818181818183	1492021.0	2.6947171027413503	42.0	274
Mohsen173_S3_L001__2P	208.42123401748367	18.181818181818183	1492021.0	2.6677987995768575	41.0	224
Mohsen175_S4_L001__1P	245.86736577362876	18.181818181818183	1939522.0	3.402347331253168	41.0	274
Mohsen175_S4_L001__2P	206.86139883950787	18.181818181818183	1939522.0	3.452978224484937	41.0	224
Mohsen176_S11_L001__1P	245.6874054320603	18.181818181818183	1541220.0	3.109279923854544	41.0	274
Mohsen176_S11_L001__2P	210.684339030119	18.181818181818183	1541220.0	3.1333147366882486	40.0	224
Mohsen178_S5_L001__1P	243.03765565604098	18.181818181818183	1579444.0	1.624446893654408	43.0	264
Mohsen178_S5_L001__2P	202.01151734407804	18.181818181818183	1579444.0	1.6563943419527334	42.0	224
Mohsen179_S12_L001__1P	248.7345212659703	18.181818181818183	1086313.0	7.86704614271396	39.0	274
Mohsen179_S12_L001__2P	215.05851444289078	18.181818181818183	1086313.0	7.987903496587478	38.0	234
Mohsen180_S6_L001__1P	243.9707526563252	18.181818181818183	1539627.0	2.8187793291925516	42.0	264
Mohsen180_S6_L001__2P	206.34529921857697	18.181818181818183	1539627.0	2.8296448607754456	41.0	224
Mohsen181_S7_L001__1P	246.21452292622448	18.181818181818183	1558281.0	3.5932191178909534	41.0	274
Mohsen181_S7_L001__2P	209.54318380317798	18.181818181818183	1558281.0	3.5430964903578257	40.0	224
Mohsen182_S8_L001__1P	247.7196237623145	18.181818181818183	1604305.0	5.780386129622684	39.0	274
Mohsen182_S8_L001__2P	212.58252576660922	18.181818181818183	1604305.0	5.908065768002885	38.0	234
Mohsen184_S9_L001__1P	248.11683220835144	18.181818181818183	1406393.0	4.584693161910181	40.0	274
Mohsen184_S9_L001__2P	210.26474178981266	18.181818181818183	1406393.0	4.717686895073598	39.0	224
Mohsen185_S10_L001__1P	246.07774057623664	18.181818181818183	1210822.0	4.443961214306029	39.0	274
Mohsen185_S10_L001__2P	212.16195444086745	18.181818181818183	1210822.0	4.4196895075676395	39.0	234
