Sample	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails
Mohsen168_S1_L001__1P	42.0	1388431.0	2.455581910482607	254	235.09360133848926	18.181818181818183
Mohsen168_S1_L001__2P	41.0	1388431.0	2.3370882708507565	214	194.13153336391943	18.181818181818183
Mohsen172_S2_L001__1P	39.0	1448801.0	5.172946466204635	264	238.9806722938485	18.181818181818183
Mohsen172_S2_L001__2P	38.0	1448801.0	5.18656649770611	224	206.3296960728216	18.181818181818183
Mohsen173_S3_L001__1P	41.0	1425894.0	2.6581936115070164	254	236.22198354155358	18.181818181818183
Mohsen173_S3_L001__2P	41.0	1425894.0	2.565880014859218	214	200.50438251370718	18.181818181818183
Mohsen175_S4_L001__1P	41.0	1785632.0	3.2878766970790423	254	235.91793269833875	18.181818181818183
Mohsen175_S4_L001__2P	40.0	1785632.0	3.2201184593051977	214	198.84193775649183	18.181818181818183
Mohsen176_S11_L001__1P	40.0	1452173.0	3.03904437663671	254	235.89313807652394	18.181818181818183
Mohsen176_S11_L001__2P	39.0	1452173.0	2.9594043792509126	214	202.83030671965392	18.181818181818183
Mohsen178_S5_L001__1P	42.0	1484637.0	1.5949179106166724	254	233.0095417263614	18.181818181818183
Mohsen178_S5_L001__2P	42.0	1484637.0	1.544582822835764	214	194.18068052998814	18.181818181818183
Mohsen179_S12_L001__1P	39.0	1045277.0	7.923896918657022	264	239.26109825433832	18.181818181818183
Mohsen179_S12_L001__2P	38.0	1045277.0	7.725411337102912	224	207.16075069096516	18.181818181818183
Mohsen180_S6_L001__1P	42.0	1469032.0	2.912914048572844	254	234.09642812409805	18.181818181818183
Mohsen180_S6_L001__2P	41.0	1469032.0	2.8371164992546483	214	198.3811298868915	18.181818181818183
Mohsen181_S7_L001__1P	40.0	1470236.0	3.462422792281558	254	236.54958863747044	18.181818181818183
Mohsen181_S7_L001__2P	40.0	1470236.0	3.407531762585009	214	201.73819645281438	18.181818181818183
Mohsen182_S8_L001__1P	39.0	1523830.0	5.890401126838697	264	238.1669838499045	18.181818181818183
Mohsen182_S8_L001__2P	38.0	1523830.0	5.74229769923798	224	204.8330043377542	18.181818181818183
Mohsen184_S9_L001__1P	39.0	1336143.0	4.672895391737001	264	238.68235660404613	18.181818181818183
Mohsen184_S9_L001__2P	39.0	1336143.0	4.535841782691378	214	202.35443137448613	18.181818181818183
Mohsen185_S10_L001__1P	39.0	1158140.0	4.306548978025688	254	236.3758241663357	18.181818181818183
Mohsen185_S10_L001__2P	39.0	1158140.0	4.202516665231627	214	204.18977066675876	18.181818181818183
