Sample	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-median_sequence_length
Mohsen168_S1_L001__1P	18.181818181818183	2.671536638382861	1496186.0	209.5719903808751	42.0	224
Mohsen168_S1_L001__2P	18.181818181818183	2.5705862671461404	1496186.0	165.83786775173675	41.0	174
Mohsen172_S2_L001__1P	18.181818181818183	5.653462858650414	1561665.0	216.14802662542863	38.0	234
Mohsen172_S2_L001__2P	9.090909090909092	5.496518915442678	1561665.0	181.74779866360583	37.0	194
Mohsen173_S3_L001__1P	18.181818181818183	2.8415687316807947	1548130.0	213.96883142888518	41.0	234
Mohsen173_S3_L001__2P	18.181818181818183	2.726062176151501	1548130.0	173.95367120332273	40.0	184
Mohsen175_S4_L001__1P	18.181818181818183	3.451808411294337	1905989.0	211.66973261650514	41.0	224
Mohsen175_S4_L001__2P	18.181818181818183	3.327295223178723	1905989.0	170.42108585096767	40.0	174
Mohsen176_S11_L001__1P	18.181818181818183	3.18145864079095	1560928.0	212.63491333360668	40.0	234
Mohsen176_S11_L001__2P	18.181818181818183	3.1607534050278616	1560928.0	174.440165081285	39.0	184
Mohsen178_S5_L001__1P	18.181818181818183	1.723014586963572	1592756.0	207.67741512196469	42.0	224
Mohsen178_S5_L001__2P	18.181818181818183	1.5635940198897913	1592756.0	167.29391507550434	41.0	174
Mohsen179_S12_L001__1P	18.181818181818183	8.697716876215694	1149954.0	215.98127751197003	38.0	234
Mohsen179_S12_L001__2P	18.181818181818183	8.434627401043869	1149954.0	180.42885106708616	37.0	194
Mohsen180_S6_L001__1P	18.181818181818183	3.1939658167152345	1584317.0	210.20081713444972	41.0	224
Mohsen180_S6_L001__2P	18.181818181818183	3.016526663603898	1584317.0	171.93151812421377	40.0	184
Mohsen181_S7_L001__1P	18.181818181818183	3.8681610284818646	1591458.0	211.87293726884405	40.0	224
Mohsen181_S7_L001__2P	18.181818181818183	3.766479103309976	1591458.0	173.97524345600073	39.0	184
Mohsen182_S8_L001__1P	18.181818181818183	6.232421672557436	1644523.0	214.24822030461112	38.0	234
Mohsen182_S8_L001__2P	18.181818181818183	6.1081797534590265	1644523.0	177.88495752263725	37.0	184
Mohsen184_S9_L001__1P	18.181818181818183	5.035503877957666	1447860.0	215.47759037475998	39.0	234
Mohsen184_S9_L001__2P	9.090909090909092	4.82928899213978	1447860.0	174.45526224911248	38.0	184
Mohsen185_S10_L001__1P	18.181818181818183	4.6363964544346175	1253360.0	212.2690535839663	39.0	234
Mohsen185_S10_L001__2P	18.181818181818183	4.373032058096896	1253360.0	177.54333870555945	38.0	184
